,name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Mary,7065.0,6919.0,8148.0,8012.0,9217.0,9128.0,9889.0,9888.0,11754.0,11648.0,12078.0,11704.0,13172.0,12784.0,13151.0,13447.0,13811.0,13413.0,14406.0,13172.0,16705.0,13136.0,14486.0,14275.0,14961.0,16067.0,16370.0,17580.0,18665.0,19259.0,22848.0,24390.0,32304.0,36642.0,45346.0,58187.0,61438.0,64280.0,67365.0,65836.0,70983.0,73984.0,72176.0,71635.0,73534.0,70586.0,67833.0,70642.0,66872.0,63511.0,64153.0,60299.0,59881.0,55517.0,56931.0,55074.0,54374.0,55643.0,56225.0,54900.0,56214.0,58049.0,63255.0,66176.0,62472.0,59281.0,67467.0,71689.0,68598.0,66869.0,65482.0,65722.0,65627.0,64390.0,68019.0,63173.0,61743.0,61103.0,55846.0,54504.0,51468.0,47688.0,43498.0,41543.0,40987.0,34271.0,28889.0,25318.0,21725.0,19851.0,19203.0,16702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Anna,2604.0,2698.0,3143.0,3306.0,3860.0,3994.0,4283.0,4227.0,4982.0,5062.0,5233.0,5099.0,5542.0,5695.0,5565.0,5950.0,5860.0,5429.0,5773.0,5115.0,6114.0,4923.0,5288.0,5098.0,5330.0,5424.0,5502.0,5575.0,5860.0,5804.0,6436.0,6753.0,8586.0,9687.0,11865.0,15119.0,15228.0,15160.0,15666.0,14498.0,14581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Emma,2003.0,2034.0,2303.0,2367.0,2587.0,2728.0,2764.0,2647.0,3087.0,2884.0,2980.0,2884.0,3128.0,2968.0,2937.0,2952.0,2872.0,2698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16557.0,22719.0,21620.0,20359.0,19128.0,18388.0,18826.0,17910.0,17364.0,18822.0,20972.0,20966.0,20962.0,20485.0,19548.0,19870.0,18818.0,17221.0,15714.0,15543.0,14498.0,13579.0,13485.0
3,Elizabeth,1939.0,1852.0,2186.0,2255.0,2549.0,2582.0,2680.0,2681.0,3224.0,3058.0,3112.0,3059.0,3461.0,3360.0,3425.0,3603.0,3471.0,3442.0,3659.0,3287.0,4096.0,3216.0,3694.0,3724.0,3833.0,4121.0,4320.0,4624.0,4904.0,5176.0,5800.0,6298.0,8527.0,9505.0,11367.0,14103.0,14940.0,15131.0,15853.0,15287.0,15908.0,15800.0,15243.0,15460.0,,13936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19531.0,20169.0,20507.0,19842.0,20361.0,20545.0,19074.0,18608.0,20042.0,20298.0,20749.0,20395.0,19034.0,17559.0,16786.0,16192.0,16004.0,15428.0,15193.0,15350.0,15117.0,14792.0,,14122.0,13574.0,,,13070.0,12025.0,,,,9729.0,9474.0,,,,,,,,,,,
4,Minnie,1746.0,1653.0,2004.0,2035.0,2243.0,2178.0,2372.0,2215.0,2654.0,2624.0,2650.0,2428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Margaret,1578.0,1658.0,1821.0,1881.0,2142.0,2204.0,2275.0,2419.0,2904.0,2917.0,3100.0,3065.0,3435.0,3565.0,3700.0,3931.0,4050.0,4146.0,4696.0,4249.0,5304.0,4424.0,5011.0,5045.0,5302.0,5690.0,6096.0,6713.0,6976.0,7358.0,8226.0,9279.0,12536.0,14486.0,17763.0,23054.0,24953.0,25560.0,27139.0,26238.0,27994.0,28468.0,26862.0,26135.0,26546.0,24462.0,23073.0,21964.0,20295.0,19211.0,18351.0,17332.0,16556.0,15240.0,15145.0,14727.0,14596.0,15143.0,15330.0,14951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ida,1472.0,1439.0,1673.0,1634.0,1882.0,1854.0,2049.0,1929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Alice,1414.0,1308.0,1542.0,,,,,,,,,,,,,,,,,,,,3135.0,,,3610.0,4192.0,4107.0,4270.0,4170.0,4671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bertha,1320.0,1324.0,1508.0,1682.0,1789.0,1860.0,2001.0,2037.0,2450.0,,2388.0,2372.0,,2623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sarah,1288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19976.0,21017.0,25759.0,28174.0,28488.0,27230.0,25889.0,24878.0,28164.0,27895.0,28374.0,27796.0,25825.0,25231.0,24636.0,24256.0,22298.0,21394.0,21044.0,20716.0,19896.0,19117.0,17715.0,15927.0,14778.0,,,,,,,,,,,,,,,,,,,,,,
10,Annie,,1326.0,1492.0,1589.0,1739.0,1703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
